mayor,byte_length
Andy Mitchell,5332
Ron Black,5332
Linda Marlene Eales,5332
Andy Mitchell,5332
Linda Marlene Eales,5332
Ron Black,5332
Andy Mitchell,5332
Linda Marlene Eales,5332
Ron Black,5332
Linda Marlene Eales,5332
Linda Marlene Eales,5332
Andy Mitchell,5332
Linda Marlene Eales,5331
Ron Black,5331
Andy Mitchell,5331
Ron Black,5331
Linda Marlene Eales,5331
Andy Mitchell,5331
Ron Black,5331
Ron Black,5331
Ron Black,5331
Ron Black,5331
Andy Mitchell,5330
Linda Marlene Eales,5330
Ron Black,5330
Ron Black,5330
Andy Mitchell,5330
Ron Black,5330
Ron Black,5330
Ron Black,5330
Linda Marlene Eales,5330
Ron Black,5330
Linda Marlene Eales,5330
Linda Marlene Eales,5329
Linda Marlene Eales,5329
Linda Marlene Eales,5329
Ron Black,5329
Linda Marlene Eales,5329
Andy Mitchell,5329
Linda Marlene Eales,5329
Linda Marlene Eales,5329
Ron Black,5329
Linda Marlene Eales,5329
Andy Mitchell,5329
Linda Marlene Eales,5329
Ron Black,5329
Linda Marlene Eales,5329
Ron Black,5329
Linda Marlene Eales,5329
Linda Marlene Eales,5329
Linda Marlene Eales,5329
Ron Black,5329
Andy Mitchell,5329
Andy Mitchell,5329
Andy Mitchell,5329
Ron Black,5328
Linda Marlene Eales,5328
Ron Black,5328
Ron Black,5328
Linda Marlene Eales,5328
Linda Marlene Eales,5328
Ron Black,5328
Ron Black,5328
Andy Mitchell,5328
Andy Mitchell,5328
ABSTAIN,5328
Linda Marlene Eales,5328
Andy Mitchell,5328
Andy Mitchell,5327
ABSTAIN,5327
ABSTAIN,5327
Andy Mitchell,5327
Andy Mitchell,5327
Linda Marlene Eales,5327
ABSTAIN,5327
Ron Black,5327
Linda Marlene Eales,5327
Ron Black,5327
Linda Marlene Eales,5327
Linda Marlene Eales,5327
Andy Mitchell,5327
Ron Black,5327
Ron Black,5327
Ron Black,5327
Linda Marlene Eales,5327
Linda Marlene Eales,5326
Ron Black,5326
ABSTAIN,5326
Ron Black,5326
Linda Marlene Eales,5326
Linda Marlene Eales,5326
Andy Mitchell,5326
Ron Black,5326
ABSTAIN,5326
Linda Marlene Eales,5326
Ron Black,5326
Ron Black,5326
Andy Mitchell,5326
Ron Black,5326
Ron Black,5326
Ron Black,5325
Andy Mitchell,5325
Andy Mitchell,5325
Linda Marlene Eales,5325
Linda Marlene Eales,5325
Ron Black,5325
Linda Marlene Eales,5325
Andy Mitchell,5325
Andy Mitchell,5325
Andy Mitchell,5325
ABSTAIN,5325
Andy Mitchell,5325
ABSTAIN,5325
ABSTAIN,5325
ABSTAIN,5325
ABSTAIN,5325
ABSTAIN,5324
ABSTAIN,5324
ABSTAIN,5324
ABSTAIN,5324
Linda Marlene Eales,5324
Andy Mitchell,5324
ABSTAIN,5324
Ron Black,5324
Linda Marlene Eales,5324
Linda Marlene Eales,5324
Andy Mitchell,5324
Linda Marlene Eales,5324
Ron Black,5324
Andy Mitchell,5324
Linda Marlene Eales,5324
Andy Mitchell,5323
ABSTAIN,5323
Andy Mitchell,5323
ABSTAIN,5323
Andy Mitchell,5323
Andy Mitchell,5323
Linda Marlene Eales,5323
Ron Black,5323
Andy Mitchell,5322
Andy Mitchell,5322
Linda Marlene Eales,5322
Linda Marlene Eales,5322
Linda Marlene Eales,5322
Ron Black,5322
Andy Mitchell,5322
Ron Black,5322
Linda Marlene Eales,5322
Ron Black,5322
Ron Black,5322
ABSTAIN,5322
ABSTAIN,5322
Linda Marlene Eales,5322
Linda Marlene Eales,5322
ABSTAIN,5322
Andy Mitchell,5322
ABSTAIN,5322
ABSTAIN,5322
Linda Marlene Eales,5321
ABSTAIN,5321
ABSTAIN,5321
Linda Marlene Eales,5321
Linda Marlene Eales,5321
ABSTAIN,5321
Linda Marlene Eales,5321
Andy Mitchell,5321
Andy Mitchell,5321
Ron Black,5321
ABSTAIN,5321
Ron Black,5321
Andy Mitchell,5320
Andy Mitchell,5320
Andy Mitchell,5320
Andy Mitchell,5320
Ron Black,5320
Linda Marlene Eales,5320
Andy Mitchell,5320
Ron Black,5320
ABSTAIN,5320
Andy Mitchell,5320
Ron Black,5320
Andy Mitchell,5320
Ron Black,5320
ABSTAIN,5320
Andy Mitchell,5320
ABSTAIN,5320
ABSTAIN,5320
Andy Mitchell,5320
Ron Black,5320
Ron Black,5320
Linda Marlene Eales,5320
Ron Black,5320
ABSTAIN,5320
Andy Mitchell,5320
Andy Mitchell,5319
ABSTAIN,5319
Andy Mitchell,5319
Linda Marlene Eales,5319
ABSTAIN,5319
Andy Mitchell,5319
ABSTAIN,5319
Ron Black,5319
Andy Mitchell,5319
Linda Marlene Eales,5319
Andy Mitchell,5319
ABSTAIN,5319
ABSTAIN,5319
Linda Marlene Eales,5319
Andy Mitchell,5319
Ron Black,5319
ABSTAIN,5318
ABSTAIN,5318
Andy Mitchell,5318
ABSTAIN,5318
Ron Black,5318
Ron Black,5318
ABSTAIN,5318
Linda Marlene Eales,5318
Linda Marlene Eales,5318
Linda Marlene Eales,5318
Andy Mitchell,5318
Ron Black,5318
Ron Black,5318
Linda Marlene Eales,5318
Andy Mitchell,5318
Andy Mitchell,5318
Linda Marlene Eales,5318
Andy Mitchell,5318
Linda Marlene Eales,5317
ABSTAIN,5317
Ron Black,5317
ABSTAIN,5317
Andy Mitchell,5317
Andy Mitchell,5317
Ron Black,5317
Andy Mitchell,5317
Andy Mitchell,5317
ABSTAIN,5317
Ron Black,5317
Linda Marlene Eales,5317
Ron Black,5317
Ron Black,5317
Linda Marlene Eales,5316
Ron Black,5316
Ron Black,5316
ABSTAIN,5316
ABSTAIN,5316
Andy Mitchell,5316
ABSTAIN,5316
Ron Black,5316
Andy Mitchell,5316
Andy Mitchell,5316
ABSTAIN,5316
Linda Marlene Eales,5316
ABSTAIN,5316
ABSTAIN,5316
Ron Black,5316
Linda Marlene Eales,5315
Ron Black,5315
Ron Black,5315
ABSTAIN,5315
Andy Mitchell,5315
Andy Mitchell,5315
Andy Mitchell,5315
Linda Marlene Eales,5315
ABSTAIN,5315
Linda Marlene Eales,5315
Andy Mitchell,5315
ABSTAIN,5315
Andy Mitchell,5315
Ron Black,5314
ABSTAIN,5314
Ron Black,5314
Linda Marlene Eales,5314
Linda Marlene Eales,5314
ABSTAIN,5314
ABSTAIN,5314
ABSTAIN,5314
Ron Black,5314
Linda Marlene Eales,5314
ABSTAIN,5314
ABSTAIN,5314
Linda Marlene Eales,5314
Linda Marlene Eales,5313
ABSTAIN,5313
Andy Mitchell,5313
Ron Black,5313
ABSTAIN,5313
Ron Black,5313
ABSTAIN,5313
ABSTAIN,5313
Ron Black,5313
Linda Marlene Eales,5313
Linda Marlene Eales,5313
Andy Mitchell,5313
Linda Marlene Eales,5313
Andy Mitchell,5313
Ron Black,5313
Ron Black,5312
ABSTAIN,5312
ABSTAIN,5312
Andy Mitchell,5312
Ron Black,5312
ABSTAIN,5312
ABSTAIN,5312
ABSTAIN,5312
Ron Black,5312
ABSTAIN,5312
Andy Mitchell,5312
Linda Marlene Eales,5312
ABSTAIN,5312
Linda Marlene Eales,5312
Linda Marlene Eales,5312
ABSTAIN,5312
Ron Black,5312
Linda Marlene Eales,5312
Linda Marlene Eales,5312
ABSTAIN,5312
Ron Black,5311
ABSTAIN,5311
ABSTAIN,5311
Ron Black,5311
Linda Marlene Eales,5311
Ron Black,5311
Ron Black,5311
Ron Black,5311
Ron Black,5311
Andy Mitchell,5311
ABSTAIN,5311
Linda Marlene Eales,5311
Ron Black,5311
ABSTAIN,5310
Andy Mitchell,5310
Linda Marlene Eales,5310
Ron Black,5310
Linda Marlene Eales,5310
Andy Mitchell,5310
Linda Marlene Eales,5310
Andy Mitchell,5310
Ron Black,5310
Andy Mitchell,5310
Linda Marlene Eales,5310
Linda Marlene Eales,5309
Andy Mitchell,5309
Ron Black,5309
Linda Marlene Eales,5309
ABSTAIN,5309
ABSTAIN,5309
ABSTAIN,5309
Andy Mitchell,5309
Andy Mitchell,5309
Linda Marlene Eales,5309
Andy Mitchell,5309
Andy Mitchell,5309
Linda Marlene Eales,5309
Linda Marlene Eales,5309
Ron Black,5309
Linda Marlene Eales,5309
Linda Marlene Eales,5308
Andy Mitchell,5308
Andy Mitchell,5308
Ron Black,5308
ABSTAIN,5308
Andy Mitchell,5308
ABSTAIN,5308
ABSTAIN,5308
Andy Mitchell,5308
ABSTAIN,5308
Andy Mitchell,5308
Ron Black,5308
Linda Marlene Eales,5308
Linda Marlene Eales,5308
Andy Mitchell,5308
Linda Marlene Eales,5308
Andy Mitchell,5308
ABSTAIN,5308
ABSTAIN,5308
Linda Marlene Eales,5307
Andy Mitchell,5307
Linda Marlene Eales,5307
Andy Mitchell,5307
Ron Black,5307
Linda Marlene Eales,5307
ABSTAIN,5307
Ron Black,5307
ABSTAIN,5307
ABSTAIN,5307
Ron Black,5307
Linda Marlene Eales,5307
Ron Black,5307
ABSTAIN,5307
ABSTAIN,5307
Linda Marlene Eales,5307
Linda Marlene Eales,5307
Andy Mitchell,5307
ABSTAIN,5307
Ron Black,5306
Ron Black,5306
Ron Black,5306
ABSTAIN,5306
Andy Mitchell,5306
Linda Marlene Eales,5306
Andy Mitchell,5306
Linda Marlene Eales,5306
Ron Black,5306
ABSTAIN,5306
ABSTAIN,5306
ABSTAIN,5306
ABSTAIN,5306
Linda Marlene Eales,5306
Ron Black,5306
Andy Mitchell,5306
Linda Marlene Eales,5305
Ron Black,5305
Linda Marlene Eales,5305
Andy Mitchell,5305
Linda Marlene Eales,5305
Ron Black,5305
ABSTAIN,5305
ABSTAIN,5305
Linda Marlene Eales,5305
Linda Marlene Eales,5305
ABSTAIN,5305
ABSTAIN,5305
Ron Black,5305
Andy Mitchell,5305
Andy Mitchell,5305
Andy Mitchell,5305
Ron Black,5305
ABSTAIN,5305
Linda Marlene Eales,5305
Andy Mitchell,5304
Linda Marlene Eales,5304
Linda Marlene Eales,5304
ABSTAIN,5304
Ron Black,5304
Linda Marlene Eales,5304
Linda Marlene Eales,5304
Linda Marlene Eales,5304
Andy Mitchell,5304
Andy Mitchell,5304
Ron Black,5304
Andy Mitchell,5304
Andy Mitchell,5304
ABSTAIN,5304
Andy Mitchell,5304
ABSTAIN,5304
Linda Marlene Eales,5304
Andy Mitchell,5304
ABSTAIN,5303
ABSTAIN,5303
Andy Mitchell,5303
Andy Mitchell,5303
ABSTAIN,5303
Linda Marlene Eales,5303
Andy Mitchell,5303
Linda Marlene Eales,5303
Linda Marlene Eales,5303
Andy Mitchell,5303
Ron Black,5303
Andy Mitchell,5303
Linda Marlene Eales,5303
Andy Mitchell,5303
ABSTAIN,5303
Linda Marlene Eales,5303
Andy Mitchell,5303
Linda Marlene Eales,5303
ABSTAIN,5303
Linda Marlene Eales,5303
Ron Black,5303
Andy Mitchell,5303
Linda Marlene Eales,5302
Andy Mitchell,5302
Linda Marlene Eales,5302
ABSTAIN,5302
Andy Mitchell,5302
ABSTAIN,5302
Andy Mitchell,5302
Andy Mitchell,5302
ABSTAIN,5302
Linda Marlene Eales,5302
Linda Marlene Eales,5302
Linda Marlene Eales,5302
Ron Black,5301
ABSTAIN,5301
Linda Marlene Eales,5301
Ron Black,5301
Linda Marlene Eales,5301
Andy Mitchell,5301
Andy Mitchell,5301
ABSTAIN,5301
ABSTAIN,5301
Andy Mitchell,5301
Linda Marlene Eales,5301
ABSTAIN,5301
Andy Mitchell,5301
Ron Black,5301
Andy Mitchell,5301
Andy Mitchell,5301
Ron Black,5301
Ron Black,5301
Andy Mitchell,5301
Andy Mitchell,5301
Andy Mitchell,5300
Ron Black,5300
Linda Marlene Eales,5300
Linda Marlene Eales,5300
Ron Black,5300
Ron Black,5300
ABSTAIN,5300
Andy Mitchell,5300
Andy Mitchell,5300
Linda Marlene Eales,5300
Linda Marlene Eales,5300
Andy Mitchell,5300
Linda Marlene Eales,5300
ABSTAIN,5300
Ron Black,5300
Ron Black,5300
Andy Mitchell,5300
ABSTAIN,5300
Linda Marlene Eales,5300
Ron Black,5300
ABSTAIN,5300
Linda Marlene Eales,5300
Ron Black,5300
Ron Black,5300
Linda Marlene Eales,5299
ABSTAIN,5299
ABSTAIN,5299
Andy Mitchell,5299
ABSTAIN,5299
Ron Black,5299
ABSTAIN,5299
ABSTAIN,5299
ABSTAIN,5299
Linda Marlene Eales,5299
ABSTAIN,5299
Andy Mitchell,5299
Andy Mitchell,5299
Linda Marlene Eales,5299
Andy Mitchell,5299
Ron Black,5299
ABSTAIN,5298
Ron Black,5298
Ron Black,5298
Linda Marlene Eales,5298
Andy Mitchell,5298
ABSTAIN,5298
Andy Mitchell,5298
Ron Black,5298
ABSTAIN,5298
Ron Black,5298
Linda Marlene Eales,5298
Linda Marlene Eales,5298
Ron Black,5298
Andy Mitchell,5298
Andy Mitchell,5298
ABSTAIN,5298
ABSTAIN,5298
Andy Mitchell,5298
Andy Mitchell,5298
Ron Black,5297
ABSTAIN,5297
ABSTAIN,5297
Linda Marlene Eales,5297
ABSTAIN,5297
Andy Mitchell,5297
Andy Mitchell,5297
Linda Marlene Eales,5297
Ron Black,5297
Linda Marlene Eales,5297
ABSTAIN,5297
Linda Marlene Eales,5297
ABSTAIN,5297
Andy Mitchell,5297
ABSTAIN,5297
Andy Mitchell,5297
Andy Mitchell,5297
ABSTAIN,5296
Linda Marlene Eales,5296
Ron Black,5296
Andy Mitchell,5296
ABSTAIN,5296
Linda Marlene Eales,5296
Linda Marlene Eales,5296
Linda Marlene Eales,5296
Ron Black,5296
ABSTAIN,5296
ABSTAIN,5296
Andy Mitchell,5296
Linda Marlene Eales,5296
Ron Black,5295
ABSTAIN,5295
ABSTAIN,5295
Ron Black,5295
ABSTAIN,5295
Linda Marlene Eales,5295
Ron Black,5295
Linda Marlene Eales,5295
Ron Black,5295
Ron Black,5295
Linda Marlene Eales,5295
Linda Marlene Eales,5295
Andy Mitchell,5295
Linda Marlene Eales,5295
Linda Marlene Eales,5295
Ron Black,5295
Linda Marlene Eales,5295
Linda Marlene Eales,5295
Ron Black,5295
Linda Marlene Eales,5295
Andy Mitchell,5294
Linda Marlene Eales,5294
Ron Black,5294
Ron Black,5294
ABSTAIN,5294
Linda Marlene Eales,5294
ABSTAIN,5294
Ron Black,5294
Andy Mitchell,5294
Andy Mitchell,5294
ABSTAIN,5294
Linda Marlene Eales,5294
Linda Marlene Eales,5294
ABSTAIN,5294
Linda Marlene Eales,5294
Andy Mitchell,5294
Ron Black,5294
Linda Marlene Eales,5293
Linda Marlene Eales,5293
Andy Mitchell,5293
Linda Marlene Eales,5293
Andy Mitchell,5293
ABSTAIN,5293
Andy Mitchell,5293
Linda Marlene Eales,5293
Ron Black,5293
ABSTAIN,5293
Linda Marlene Eales,5293
ABSTAIN,5293
Linda Marlene Eales,5293
Linda Marlene Eales,5293
Linda Marlene Eales,5293
Ron Black,5293
Ron Black,5292
Ron Black,5292
Linda Marlene Eales,5292
Ron Black,5292
Linda Marlene Eales,5292
ABSTAIN,5292
Linda Marlene Eales,5292
Linda Marlene Eales,5292
ABSTAIN,5292
Ron Black,5292
Andy Mitchell,5292
Ron Black,5292
ABSTAIN,5292
Andy Mitchell,5291
Linda Marlene Eales,5291
Linda Marlene Eales,5291
ABSTAIN,5291
ABSTAIN,5291
Andy Mitchell,5291
Andy Mitchell,5291
Ron Black,5291
Andy Mitchell,5291
Andy Mitchell,5291
Ron Black,5291
Andy Mitchell,5290
Linda Marlene Eales,5290
Andy Mitchell,5290
ABSTAIN,5290
Linda Marlene Eales,5290
Linda Marlene Eales,5290
ABSTAIN,5290
Linda Marlene Eales,5290
ABSTAIN,5290
Andy Mitchell,5290
Ron Black,5290
Ron Black,5290
Ron Black,5290
ABSTAIN,5290
Andy Mitchell,5289
Linda Marlene Eales,5289
Andy Mitchell,5289
Andy Mitchell,5289
Andy Mitchell,5289
Andy Mitchell,5289
Linda Marlene Eales,5289
ABSTAIN,5289
Andy Mitchell,5289
ABSTAIN,5289
Linda Marlene Eales,5289
Andy Mitchell,5289
Ron Black,5289
Linda Marlene Eales,5289
Linda Marlene Eales,5288
ABSTAIN,5288
Ron Black,5288
ABSTAIN,5288
Ron Black,5288
Ron Black,5288
ABSTAIN,5288
Linda Marlene Eales,5288
Linda Marlene Eales,5288
Andy Mitchell,5288
ABSTAIN,5288
ABSTAIN,5288
Linda Marlene Eales,5288
Linda Marlene Eales,5288
ABSTAIN,5287
Andy Mitchell,5287
ABSTAIN,5287
Andy Mitchell,5287
Andy Mitchell,5287
Ron Black,5287
ABSTAIN,5287
Ron Black,5287
Ron Black,5287
Ron Black,5287
ABSTAIN,5286
Ron Black,5286
Ron Black,5286
Andy Mitchell,5286
ABSTAIN,5286
Linda Marlene Eales,5286
Linda Marlene Eales,5286
Ron Black,5286
Andy Mitchell,5286
ABSTAIN,5286
ABSTAIN,5286
Linda Marlene Eales,5286
ABSTAIN,5286
ABSTAIN,5286
Andy Mitchell,5286
Linda Marlene Eales,5285
Ron Black,5285
ABSTAIN,5285
Ron Black,5285
Ron Black,5285
Linda Marlene Eales,5285
ABSTAIN,5285
Ron Black,5285
ABSTAIN,5285
Andy Mitchell,5285
Linda Marlene Eales,5285
Andy Mitchell,5285
Linda Marlene Eales,5285
Ron Black,5285
Linda Marlene Eales,5285
ABSTAIN,5285
Andy Mitchell,5285
Andy Mitchell,5285
Linda Marlene Eales,5285
ABSTAIN,5285
Ron Black,5285
Andy Mitchell,5285
Andy Mitchell,5285
Andy Mitchell,5285
Ron Black,5285
Andy Mitchell,5284
ABSTAIN,5284
Linda Marlene Eales,5284
Linda Marlene Eales,5284
Linda Marlene Eales,5284
ABSTAIN,5284
Andy Mitchell,5284
Ron Black,5284
Linda Marlene Eales,5284
Ron Black,5284
Linda Marlene Eales,5284
Linda Marlene Eales,5284
Linda Marlene Eales,5284
Linda Marlene Eales,5284
Andy Mitchell,5284
Linda Marlene Eales,5284
Linda Marlene Eales,5284
Andy Mitchell,5284
Andy Mitchell,5284
Andy Mitchell,5284
ABSTAIN,5284
Linda Marlene Eales,5284
Ron Black,5284
ABSTAIN,5284
Andy Mitchell,5284
Andy Mitchell,5284
Andy Mitchell,5283
ABSTAIN,5283
Andy Mitchell,5283
Ron Black,5283
Linda Marlene Eales,5283
Linda Marlene Eales,5283
ABSTAIN,5283
Linda Marlene Eales,5283
ABSTAIN,5283
ABSTAIN,5283
Andy Mitchell,5283
ABSTAIN,5283
Linda Marlene Eales,5283
Ron Black,5283
Andy Mitchell,5283
Ron Black,5283
Andy Mitchell,5283
Andy Mitchell,5283
Ron Black,5282
Linda Marlene Eales,5282
ABSTAIN,5282
Andy Mitchell,5282
ABSTAIN,5282
Linda Marlene Eales,5282
Linda Marlene Eales,5282
Ron Black,5282
ABSTAIN,5282
Andy Mitchell,5282
Ron Black,5282
ABSTAIN,5282
Linda Marlene Eales,5282
Ron Black,5282
Linda Marlene Eales,5282
ABSTAIN,5282
ABSTAIN,5281
Andy Mitchell,5281
ABSTAIN,5281
ABSTAIN,5281
Linda Marlene Eales,5281
Andy Mitchell,5281
Ron Black,5281
ABSTAIN,5281
Andy Mitchell,5281
Ron Black,5281
Andy Mitchell,5281
Ron Black,5281
ABSTAIN,5280
ABSTAIN,5280
Linda Marlene Eales,5280
Andy Mitchell,5280
ABSTAIN,5280
ABSTAIN,5280
ABSTAIN,5280
Ron Black,5280
Ron Black,5280
ABSTAIN,5280
Linda Marlene Eales,5280
Ron Black,5280
Linda Marlene Eales,5280
Linda Marlene Eales,5280
Linda Marlene Eales,5280
ABSTAIN,5280
Andy Mitchell,5280
Linda Marlene Eales,5279
ABSTAIN,5279
Ron Black,5279
ABSTAIN,5279
Ron Black,5279
ABSTAIN,5279
ABSTAIN,5279
Linda Marlene Eales,5279
Andy Mitchell,5279
Andy Mitchell,5279
ABSTAIN,5279
ABSTAIN,5279
ABSTAIN,5278
Andy Mitchell,5278
ABSTAIN,5278
ABSTAIN,5278
Ron Black,5278
Ron Black,5278
Linda Marlene Eales,5278
Linda Marlene Eales,5278
Linda Marlene Eales,5278
Ron Black,5278
Ron Black,5278
Ron Black,5278
Ron Black,5278
Ron Black,5278
Linda Marlene Eales,5278
Linda Marlene Eales,5278
Andy Mitchell,5278
Linda Marlene Eales,5277
ABSTAIN,5277
Andy Mitchell,5277
Ron Black,5277
ABSTAIN,5277
ABSTAIN,5277
ABSTAIN,5277
Andy Mitchell,5277
Andy Mitchell,5277
Ron Black,5277
ABSTAIN,5277
Andy Mitchell,5277
Linda Marlene Eales,5277
Linda Marlene Eales,5277
ABSTAIN,5277
Ron Black,5277
Andy Mitchell,5277
Ron Black,5277
Ron Black,5277
Andy Mitchell,5277
Linda Marlene Eales,5277
Linda Marlene Eales,5276
ABSTAIN,5276
Andy Mitchell,5276
Andy Mitchell,5276
Andy Mitchell,5276
Andy Mitchell,5276
Andy Mitchell,5276
Andy Mitchell,5276
Ron Black,5276
Ron Black,5276
Andy Mitchell,5276
Andy Mitchell,5276
Ron Black,5276
ABSTAIN,5276
Ron Black,5276
Linda Marlene Eales,5276
Ron Black,5276
Andy Mitchell,5276
ABSTAIN,5276
Linda Marlene Eales,5276
Ron Black,5275
Linda Marlene Eales,5275
Linda Marlene Eales,5275
Ron Black,5275
ABSTAIN,5275
Andy Mitchell,5275
ABSTAIN,5275
ABSTAIN,5275
Ron Black,5275
Linda Marlene Eales,5275
ABSTAIN,5275
Ron Black,5275
Ron Black,5275
ABSTAIN,5275
ABSTAIN,5275
ABSTAIN,5275
ABSTAIN,5274
Linda Marlene Eales,5274
Linda Marlene Eales,5274
ABSTAIN,5274
Ron Black,5274
Andy Mitchell,5274
ABSTAIN,5274
Andy Mitchell,5274
Ron Black,5274
Ron Black,5274
Andy Mitchell,5274
Andy Mitchell,5274
ABSTAIN,5274
Ron Black,5274
Andy Mitchell,5274
Linda Marlene Eales,5273
Linda Marlene Eales,5273
Andy Mitchell,5273
Linda Marlene Eales,5273
Andy Mitchell,5273
ABSTAIN,5273
Ron Black,5273
ABSTAIN,5273
Ron Black,5273
ABSTAIN,5273
ABSTAIN,5273
Linda Marlene Eales,5273
Andy Mitchell,5273
Andy Mitchell,5273
ABSTAIN,5272
Andy Mitchell,5272
Ron Black,5272
Andy Mitchell,5272
ABSTAIN,5272
ABSTAIN,5272
ABSTAIN,5272
Ron Black,5272
Andy Mitchell,5272
Linda Marlene Eales,5272
Andy Mitchell,5272
Ron Black,5272
ABSTAIN,5272
Ron Black,5272
Linda Marlene Eales,5272
Andy Mitchell,5271
Ron Black,5271
ABSTAIN,5271
ABSTAIN,5271
ABSTAIN,5271
Ron Black,5271
Linda Marlene Eales,5271
Linda Marlene Eales,5271
Andy Mitchell,5271
Linda Marlene Eales,5271
Andy Mitchell,5271
Andy Mitchell,5270
Linda Marlene Eales,5270
Linda Marlene Eales,5270
Linda Marlene Eales,5270
Ron Black,5270
Andy Mitchell,5270
Andy Mitchell,5270
Andy Mitchell,5270
Andy Mitchell,5270
Ron Black,5270
Andy Mitchell,5270
Linda Marlene Eales,5270
Ron Black,5270
Linda Marlene Eales,5270
