mayor,byte_length
Ron Black,4456
Andy Mitchell,4447
Linda Marlene Eales,5220
Linda Marlene Eales,4687
Ron Black,5216
Linda Marlene Eales,3655
Andy Mitchell,4428
OTHER,3482
Andy Mitchell,4045
Linda Marlene Eales,4211
Linda Marlene Eales,4889
OTHER,4856
Linda Marlene Eales,4535
Ron Black,3967
Andy Mitchell,4175
Linda Marlene Eales,4194
Andy Mitchell,3778
Ron Black,4373
OTHER,4963
Ron Black,3916
OTHER,5013
OTHER,5168
Linda Marlene Eales,4385
Andy Mitchell,3862
Andy Mitchell,4222
Andy Mitchell,4171
Ron Black,3420
OTHER,4180
Ron Black,4866
Linda Marlene Eales,4010
Linda Marlene Eales,4649
OTHER,4231
Ron Black,4445
Andy Mitchell,3794
Ron Black,4516
Andy Mitchell,5259
Andy Mitchell,4823
Andy Mitchell,4942
Andy Mitchell,4407
Ron Black,4574
Linda Marlene Eales,4229
OTHER,5164
Andy Mitchell,4231
Linda Marlene Eales,4337
Ron Black,3480
Andy Mitchell,3974
OTHER,4755
OTHER,4100
OTHER,3813
OTHER,3364
Linda Marlene Eales,3518
Ron Black,3524
OTHER,3531
Andy Mitchell,3539
Andy Mitchell,4500
Andy Mitchell,3738
OTHER,4367
Linda Marlene Eales,4703
Andy Mitchell,4991
Ron Black,4070
OTHER,5232
Ron Black,4679
Linda Marlene Eales,3738
Linda Marlene Eales,3858
Andy Mitchell,4660
OTHER,5057
Ron Black,3773
Andy Mitchell,5179
Linda Marlene Eales,4384
Ron Black,4443
Linda Marlene Eales,5195
Ron Black,4700
Linda Marlene Eales,4287
Andy Mitchell,3756
Ron Black,4662
Linda Marlene Eales,4757
Andy Mitchell,3900
Linda Marlene Eales,4794
Ron Black,3945
OTHER,3753
OTHER,4369
Ron Black,3398
OTHER,4265
Andy Mitchell,3513
Andy Mitchell,4351
Ron Black,4362
Ron Black,3449
Ron Black,5062
OTHER,5155
OTHER,4461
Linda Marlene Eales,4371
Andy Mitchell,5101
Andy Mitchell,3640
Linda Marlene Eales,3635
Ron Black,4903
Ron Black,4452
Linda Marlene Eales,3553
Linda Marlene Eales,4598
Ron Black,4288
Ron Black,3508
Linda Marlene Eales,3760
OTHER,4646
Andy Mitchell,4097
OTHER,4404
Linda Marlene Eales,4678
Andy Mitchell,4211
Ron Black,4219
Ron Black,5329
Ron Black,3856
Ron Black,3600
OTHER,3534
Ron Black,4644
Linda Marlene Eales,4978
Ron Black,3534
Ron Black,4683
Andy Mitchell,4772
Linda Marlene Eales,4547
OTHER,4128
Linda Marlene Eales,5061
Linda Marlene Eales,4751
Linda Marlene Eales,5089
Linda Marlene Eales,3425
Ron Black,3990
OTHER,4548
OTHER,4886
OTHER,5227
Linda Marlene Eales,5044
Andy Mitchell,4197
OTHER,4237
OTHER,4846
Linda Marlene Eales,4687
Andy Mitchell,3953
OTHER,3352
Linda Marlene Eales,4827
Ron Black,4577
Ron Black,5128
Andy Mitchell,5101
Andy Mitchell,3509
Andy Mitchell,5236
Andy Mitchell,4506
OTHER,4486
OTHER,5108
Ron Black,4518
Ron Black,4436
Linda Marlene Eales,3624
Andy Mitchell,4890
Andy Mitchell,5164
Ron Black,3450
Andy Mitchell,3674
Andy Mitchell,4815
Ron Black,4717
Linda Marlene Eales,4018
OTHER,5103
OTHER,3579
Andy Mitchell,5315
Andy Mitchell,4644
OTHER,4217
Linda Marlene Eales,5125
Andy Mitchell,4343
OTHER,3632
Linda Marlene Eales,5124
Ron Black,5017
OTHER,5209
OTHER,4957
Linda Marlene Eales,5141
OTHER,3563
OTHER,4434
Andy Mitchell,3657
Ron Black,3488
Ron Black,4475
Ron Black,4890
Andy Mitchell,4193
Ron Black,3561
Ron Black,3453
Andy Mitchell,4408
Ron Black,5150
OTHER,4228
Ron Black,4759
Ron Black,3783
Andy Mitchell,3775
Linda Marlene Eales,3800
Ron Black,4174
Linda Marlene Eales,3514
Andy Mitchell,5008
Andy Mitchell,5208
Ron Black,5008
OTHER,4248
OTHER,3628
Linda Marlene Eales,3612
Andy Mitchell,4624
Andy Mitchell,3602
Linda Marlene Eales,4726
Ron Black,4229
Linda Marlene Eales,3825
Andy Mitchell,3541
Ron Black,4149
Ron Black,5244
Linda Marlene Eales,5238
OTHER,4457
Ron Black,3940
OTHER,3680
Andy Mitchell,3560
OTHER,3877
Linda Marlene Eales,3726
OTHER,5289
Andy Mitchell,3685
Linda Marlene Eales,3927
Ron Black,3352
Andy Mitchell,5262
OTHER,3602
Andy Mitchell,4777
Linda Marlene Eales,4924
Linda Marlene Eales,5260
Andy Mitchell,3569
Ron Black,4312
Linda Marlene Eales,4299
Linda Marlene Eales,4055
Ron Black,4349
Ron Black,4052
Linda Marlene Eales,3469
Ron Black,3373
Ron Black,3719
Ron Black,4602
Ron Black,5130
Linda Marlene Eales,5131
Linda Marlene Eales,4104
OTHER,3733
Ron Black,3824
Ron Black,4756
OTHER,4874
OTHER,5184
Ron Black,5244
OTHER,3686
Ron Black,4029
OTHER,3814
Ron Black,3811
Andy Mitchell,4459
OTHER,5305
Ron Black,4857
OTHER,3471
Linda Marlene Eales,4440
Andy Mitchell,4373
OTHER,4454
Ron Black,3730
Linda Marlene Eales,5177
Linda Marlene Eales,3628
Ron Black,4624
Ron Black,3844
Linda Marlene Eales,5150
OTHER,4544
Andy Mitchell,5236
Andy Mitchell,5157
OTHER,3892
Andy Mitchell,4492
Ron Black,4998
Linda Marlene Eales,5199
Ron Black,3930
OTHER,3570
OTHER,5153
Andy Mitchell,4671
Linda Marlene Eales,4076
Andy Mitchell,5132
Ron Black,4645
Linda Marlene Eales,3892
Ron Black,4650
Linda Marlene Eales,5322
OTHER,4669
Linda Marlene Eales,4749
Andy Mitchell,5186
Linda Marlene Eales,4750
OTHER,4968
Linda Marlene Eales,4785
Andy Mitchell,5028
Andy Mitchell,3702
Ron Black,3473
Andy Mitchell,4702
Andy Mitchell,3703
Linda Marlene Eales,5058
Linda Marlene Eales,4465
OTHER,3792
Ron Black,5337
OTHER,5081
Linda Marlene Eales,4894
OTHER,4008
OTHER,4879
Ron Black,3686
OTHER,3635
Linda Marlene Eales,4732
Ron Black,4922
OTHER,4337
Andy Mitchell,4783
Linda Marlene Eales,4342
Linda Marlene Eales,4575
Andy Mitchell,3874
Andy Mitchell,5014
OTHER,3730
OTHER,4325
Linda Marlene Eales,4027
Linda Marlene Eales,3459
Ron Black,5176
Andy Mitchell,4288
Ron Black,4515
Ron Black,4085
Andy Mitchell,3635
Ron Black,3931
OTHER,3800
OTHER,3462
Ron Black,4452
Andy Mitchell,3569
Ron Black,3434
Ron Black,3969
Linda Marlene Eales,5097
Linda Marlene Eales,4663
OTHER,4714
Andy Mitchell,4384
Linda Marlene Eales,3385
OTHER,3531
Ron Black,4571
Andy Mitchell,3962
Andy Mitchell,3482
Andy Mitchell,3725
Ron Black,4482
OTHER,4512
Ron Black,3679
Linda Marlene Eales,4057
Linda Marlene Eales,5262
Andy Mitchell,3913
Linda Marlene Eales,3876
OTHER,5313
OTHER,5313
Andy Mitchell,3917
Ron Black,4367
Linda Marlene Eales,5262
Ron Black,5012
Linda Marlene Eales,4737
Andy Mitchell,5061
Andy Mitchell,4765
Ron Black,4665
Ron Black,4712
Ron Black,4410
Ron Black,3425
Linda Marlene Eales,4139
Linda Marlene Eales,5260
Ron Black,3440
Andy Mitchell,3848
Linda Marlene Eales,3691
Linda Marlene Eales,4034
OTHER,5275
OTHER,4800
Ron Black,4496
Andy Mitchell,4755
Linda Marlene Eales,3939
OTHER,3532
Andy Mitchell,4359
Andy Mitchell,4581
Ron Black,3853
OTHER,3552
Ron Black,5175
Linda Marlene Eales,3515
Andy Mitchell,5025
Ron Black,4372
Linda Marlene Eales,4186
Linda Marlene Eales,3636
Ron Black,4104
Linda Marlene Eales,3501
OTHER,4676
Linda Marlene Eales,4794
Linda Marlene Eales,4511
Andy Mitchell,4529
Andy Mitchell,4072
OTHER,5139
Andy Mitchell,3437
Linda Marlene Eales,5346
Andy Mitchell,5162
Andy Mitchell,4247
Ron Black,5139
OTHER,4602
Ron Black,5011
Ron Black,4101
Andy Mitchell,3481
Ron Black,3748
OTHER,3682
Ron Black,3526
Ron Black,3483
Ron Black,3422
Linda Marlene Eales,4276
Andy Mitchell,4076
Andy Mitchell,3971
Linda Marlene Eales,4356
Linda Marlene Eales,3567
Linda Marlene Eales,5169
OTHER,5325
Andy Mitchell,5263
Ron Black,4113
Andy Mitchell,3401
Ron Black,5210
Andy Mitchell,4341
Ron Black,4493
Andy Mitchell,5090
Linda Marlene Eales,5086
Linda Marlene Eales,3549
Linda Marlene Eales,3821
Linda Marlene Eales,5188
Ron Black,3586
Andy Mitchell,3508
Andy Mitchell,4828
Andy Mitchell,4232
Ron Black,4355
Linda Marlene Eales,4040
Linda Marlene Eales,5321
Ron Black,4624
Linda Marlene Eales,3961
Linda Marlene Eales,4978
Linda Marlene Eales,4233
Andy Mitchell,3959
Linda Marlene Eales,4650
Linda Marlene Eales,4199
OTHER,5069
Linda Marlene Eales,4680
OTHER,5085
Ron Black,5074
OTHER,3757
Linda Marlene Eales,3872
Andy Mitchell,5214
Ron Black,4044
Andy Mitchell,5232
Andy Mitchell,4661
Linda Marlene Eales,3405
Andy Mitchell,5149
Andy Mitchell,4783
Ron Black,3682
OTHER,4870
OTHER,3809
Linda Marlene Eales,4129
Linda Marlene Eales,3758
Ron Black,3390
Ron Black,3825
OTHER,4629
Andy Mitchell,3711
OTHER,4058
Linda Marlene Eales,4645
Andy Mitchell,4515
Andy Mitchell,4068
Linda Marlene Eales,5330
OTHER,3915
Andy Mitchell,4598
OTHER,4092
Ron Black,4329
OTHER,3647
Andy Mitchell,4573
Andy Mitchell,4787
Andy Mitchell,4094
Linda Marlene Eales,5269
Linda Marlene Eales,4588
OTHER,4653
OTHER,5141
Linda Marlene Eales,4062
Andy Mitchell,4824
Andy Mitchell,5347
Linda Marlene Eales,4380
Andy Mitchell,3525
Andy Mitchell,3374
OTHER,5159
Andy Mitchell,4690
Linda Marlene Eales,3904
OTHER,4730
Linda Marlene Eales,5177
Andy Mitchell,4450
OTHER,4147
Ron Black,4054
Ron Black,4228
Andy Mitchell,3880
OTHER,3901
Linda Marlene Eales,4108
Andy Mitchell,4700
Ron Black,4417
Linda Marlene Eales,4243
Linda Marlene Eales,4293
OTHER,4416
Linda Marlene Eales,4954
Linda Marlene Eales,3766
Andy Mitchell,4258
OTHER,3529
Ron Black,3942
Andy Mitchell,3524
Andy Mitchell,4382
OTHER,3473
Ron Black,3962
Ron Black,5344
Linda Marlene Eales,3754
Andy Mitchell,4371
OTHER,5184
Ron Black,3832
OTHER,4228
Linda Marlene Eales,4299
Linda Marlene Eales,3872
Ron Black,3721
Andy Mitchell,5257
Ron Black,4955
OTHER,3627
Ron Black,4357
Andy Mitchell,4339
Linda Marlene Eales,4831
Andy Mitchell,3604
OTHER,4595
Ron Black,4928
Linda Marlene Eales,4530
Andy Mitchell,3945
Andy Mitchell,3871
Linda Marlene Eales,4877
Linda Marlene Eales,4493
OTHER,3754
OTHER,3913
Linda Marlene Eales,5133
Linda Marlene Eales,3813
Linda Marlene Eales,4382
Ron Black,4724
Linda Marlene Eales,3653
Linda Marlene Eales,3499
Ron Black,4147
Linda Marlene Eales,4887
OTHER,3741
Ron Black,3586
Linda Marlene Eales,3751
Ron Black,3492
Ron Black,4810
Linda Marlene Eales,5090
Linda Marlene Eales,5066
Andy Mitchell,4466
Ron Black,4553
OTHER,4016
Linda Marlene Eales,3690
OTHER,4315
Ron Black,4500
Linda Marlene Eales,3730
OTHER,3549
Ron Black,4845
Linda Marlene Eales,3663
OTHER,4837
OTHER,3442
Ron Black,4268
Andy Mitchell,3639
Andy Mitchell,5089
Linda Marlene Eales,5195
Linda Marlene Eales,4169
Andy Mitchell,4587
Ron Black,5113
OTHER,4874
Ron Black,3949
Ron Black,5226
Linda Marlene Eales,4657
Andy Mitchell,4930
OTHER,3946
Ron Black,4829
Linda Marlene Eales,4111
OTHER,4130
Linda Marlene Eales,3575
OTHER,4752
Andy Mitchell,3822
Andy Mitchell,4881
Ron Black,3875
Ron Black,3999
Andy Mitchell,4061
Linda Marlene Eales,4062
Linda Marlene Eales,4499
Ron Black,5296
Linda Marlene Eales,3549
Andy Mitchell,4707
OTHER,4351
OTHER,4467
Linda Marlene Eales,5274
OTHER,5010
Andy Mitchell,4472
OTHER,4614
Andy Mitchell,3545
Ron Black,5283
Ron Black,3658
OTHER,3762
Ron Black,5141
Linda Marlene Eales,4335
Andy Mitchell,3938
Ron Black,4514
Linda Marlene Eales,4023
Ron Black,3835
OTHER,4584
Andy Mitchell,3994
OTHER,4563
Linda Marlene Eales,5317
Linda Marlene Eales,5279
Andy Mitchell,4881
Andy Mitchell,4369
Ron Black,4083
Ron Black,3430
OTHER,4905
Linda Marlene Eales,4421
OTHER,4878
Ron Black,3859
Linda Marlene Eales,3963
OTHER,4698
OTHER,4599
Linda Marlene Eales,4677
Andy Mitchell,4854
Ron Black,5080
Ron Black,4495
OTHER,3444
Linda Marlene Eales,5084
Ron Black,4314
OTHER,3659
OTHER,3772
Linda Marlene Eales,4177
Ron Black,4414
Linda Marlene Eales,3480
Linda Marlene Eales,3392
Ron Black,3590
Andy Mitchell,4772
Andy Mitchell,3964
Linda Marlene Eales,5170
Andy Mitchell,3702
OTHER,5034
OTHER,4856
Linda Marlene Eales,4806
Linda Marlene Eales,4526
OTHER,3668
Ron Black,5067
Andy Mitchell,4658
Andy Mitchell,4166
OTHER,5080
Ron Black,5025
OTHER,3589
Ron Black,5034
OTHER,3809
OTHER,5142
Ron Black,4251
Ron Black,3828
Linda Marlene Eales,3782
Andy Mitchell,5085
OTHER,4259
Ron Black,3788
OTHER,4962
OTHER,5168
Linda Marlene Eales,4587
Andy Mitchell,5160
OTHER,3917
Andy Mitchell,5230
Andy Mitchell,4565
Ron Black,4198
Linda Marlene Eales,4929
Linda Marlene Eales,3394
Andy Mitchell,4236
OTHER,3892
Linda Marlene Eales,5293
Linda Marlene Eales,3570
Andy Mitchell,4603
Ron Black,3395
Ron Black,3854
Linda Marlene Eales,3735
Linda Marlene Eales,3510
Ron Black,4059
Andy Mitchell,5195
OTHER,4074
Linda Marlene Eales,4851
Ron Black,4800
Linda Marlene Eales,5001
OTHER,3792
Ron Black,5123
OTHER,4971
Andy Mitchell,5333
Ron Black,5267
Ron Black,4065
Linda Marlene Eales,4571
Linda Marlene Eales,4998
Ron Black,3444
Ron Black,4171
Andy Mitchell,4901
Linda Marlene Eales,5021
Linda Marlene Eales,4277
OTHER,4937
Andy Mitchell,4039
OTHER,4818
Andy Mitchell,4257
OTHER,3446
OTHER,3595
OTHER,4904
Ron Black,4548
Andy Mitchell,3463
Ron Black,3710
Ron Black,3463
Linda Marlene Eales,3619
Ron Black,4642
Linda Marlene Eales,3768
OTHER,4654
Linda Marlene Eales,4550
Andy Mitchell,3681
Andy Mitchell,4371
Ron Black,3838
Linda Marlene Eales,3878
Andy Mitchell,4751
Ron Black,3788
Andy Mitchell,4586
OTHER,5138
Ron Black,5108
Linda Marlene Eales,3910
Andy Mitchell,4710
Andy Mitchell,4970
OTHER,3455
Linda Marlene Eales,3653
OTHER,4234
Linda Marlene Eales,4574
Linda Marlene Eales,4682
Ron Black,5113
Ron Black,4845
Ron Black,4214
Linda Marlene Eales,5266
Ron Black,4959
Andy Mitchell,5163
Andy Mitchell,4690
OTHER,4534
OTHER,3334
Linda Marlene Eales,4097
Linda Marlene Eales,3415
Ron Black,4099
Linda Marlene Eales,5118
Linda Marlene Eales,4251
Linda Marlene Eales,4012
Andy Mitchell,3621
OTHER,4822
Ron Black,3901
OTHER,3466
Ron Black,4899
Linda Marlene Eales,3464
OTHER,4623
OTHER,4470
Linda Marlene Eales,3764
OTHER,4856
Ron Black,3892
Ron Black,4488
Andy Mitchell,4820
Andy Mitchell,4792
Andy Mitchell,4515
Andy Mitchell,5047
OTHER,4411
Ron Black,3490
OTHER,4970
Ron Black,3924
Ron Black,3447
Ron Black,3827
Ron Black,4543
Linda Marlene Eales,3417
Andy Mitchell,4638
Linda Marlene Eales,3566
Andy Mitchell,4268
Ron Black,5344
Andy Mitchell,3397
OTHER,4000
Ron Black,4570
Linda Marlene Eales,3531
OTHER,4666
Andy Mitchell,4843
Ron Black,3593
Ron Black,4544
Andy Mitchell,4438
Linda Marlene Eales,5199
Andy Mitchell,5169
Ron Black,5321
Linda Marlene Eales,4727
OTHER,4378
Ron Black,4140
Ron Black,3466
Linda Marlene Eales,3877
Andy Mitchell,3362
Linda Marlene Eales,5157
Linda Marlene Eales,5185
Linda Marlene Eales,5155
OTHER,3745
Ron Black,4886
OTHER,5088
Linda Marlene Eales,4712
Andy Mitchell,4845
Ron Black,3486
Andy Mitchell,3733
Andy Mitchell,3402
OTHER,4096
Linda Marlene Eales,3750
Linda Marlene Eales,3477
OTHER,4422
OTHER,3922
Ron Black,4216
Linda Marlene Eales,4780
Ron Black,3683
OTHER,5250
Linda Marlene Eales,5095
Ron Black,3369
OTHER,5105
Andy Mitchell,4960
OTHER,4047
Linda Marlene Eales,5128
Ron Black,5076
OTHER,4975
OTHER,4941
Linda Marlene Eales,3652
Ron Black,3975
Andy Mitchell,3704
Ron Black,5342
Ron Black,4041
OTHER,4798
OTHER,3625
Linda Marlene Eales,4787
Andy Mitchell,3423
OTHER,4680
OTHER,5132
Andy Mitchell,5305
OTHER,3768
Ron Black,3424
OTHER,4981
Linda Marlene Eales,3421
Linda Marlene Eales,4532
Linda Marlene Eales,3721
Linda Marlene Eales,3752
Linda Marlene Eales,4968
Andy Mitchell,3761
Linda Marlene Eales,3676
Linda Marlene Eales,5002
OTHER,3484
Ron Black,4237
Andy Mitchell,3432
OTHER,4294
OTHER,3968
Ron Black,3524
OTHER,4263
OTHER,4385
Ron Black,4914
OTHER,4077
Linda Marlene Eales,5064
Linda Marlene Eales,4982
Ron Black,4967
Andy Mitchell,4850
Linda Marlene Eales,4432
Linda Marlene Eales,3506
Linda Marlene Eales,3530
OTHER,3773
Ron Black,4236
Ron Black,4231
Ron Black,4747
Andy Mitchell,3707
Andy Mitchell,3747
Ron Black,3658
OTHER,5100
Linda Marlene Eales,4114
Andy Mitchell,3787
Andy Mitchell,3932
Linda Marlene Eales,4827
Linda Marlene Eales,5040
OTHER,3627
Ron Black,4916
Ron Black,4056
Ron Black,3360
Linda Marlene Eales,5029
Ron Black,4078
Linda Marlene Eales,3690
Ron Black,3376
Linda Marlene Eales,4364
Ron Black,3562
OTHER,5042
OTHER,3352
Linda Marlene Eales,3645
Andy Mitchell,4016
OTHER,5210
OTHER,5244
Andy Mitchell,4938
OTHER,3780
Linda Marlene Eales,3787
Andy Mitchell,3366
Andy Mitchell,4725
Linda Marlene Eales,4872
Ron Black,3597
Ron Black,4930
Linda Marlene Eales,4379
OTHER,3947
OTHER,4270
OTHER,4985
Andy Mitchell,3822
Linda Marlene Eales,5085
Ron Black,3376
Ron Black,5300
Linda Marlene Eales,3535
Linda Marlene Eales,4864
Andy Mitchell,3421
Andy Mitchell,3385
Linda Marlene Eales,4099
OTHER,4364
Andy Mitchell,4968
Andy Mitchell,4676
OTHER,4234
OTHER,4983
OTHER,4088
Linda Marlene Eales,4445
Ron Black,4928
Andy Mitchell,3609
Linda Marlene Eales,4929
Ron Black,5106
Linda Marlene Eales,3658
Andy Mitchell,4500
Andy Mitchell,3559
Linda Marlene Eales,4652
Andy Mitchell,4156
Linda Marlene Eales,3885
Ron Black,4326
Andy Mitchell,4842
Linda Marlene Eales,4683
Andy Mitchell,3407
Linda Marlene Eales,4297
Linda Marlene Eales,4881
Ron Black,4973
Andy Mitchell,3890
Andy Mitchell,4902
Ron Black,4075
Linda Marlene Eales,4853
Linda Marlene Eales,3461
OTHER,4236
Linda Marlene Eales,4796
Ron Black,4088
Andy Mitchell,4326
Andy Mitchell,3463
OTHER,3425
Linda Marlene Eales,4244
Ron Black,3688
Linda Marlene Eales,4245
Andy Mitchell,4605
Ron Black,4950
Ron Black,5295
Linda Marlene Eales,3592
OTHER,3932
Ron Black,3391
Andy Mitchell,5022
Linda Marlene Eales,3608
Andy Mitchell,4449
OTHER,5179
Linda Marlene Eales,4048
Linda Marlene Eales,4186
Andy Mitchell,4785
Ron Black,3548
Ron Black,4826
Linda Marlene Eales,4502
OTHER,3878
Linda Marlene Eales,4344
OTHER,3983
Ron Black,4121
Andy Mitchell,4696
OTHER,3911
Linda Marlene Eales,3774
Andy Mitchell,4282
Andy Mitchell,4746
Andy Mitchell,4088
Linda Marlene Eales,4205
Ron Black,4962
OTHER,4358
OTHER,4257
Andy Mitchell,4443
Andy Mitchell,3416
Linda Marlene Eales,3952
Andy Mitchell,4830
OTHER,3844
Linda Marlene Eales,4736
Andy Mitchell,3738
Linda Marlene Eales,4859
Linda Marlene Eales,4110
Ron Black,3456
Linda Marlene Eales,4643
Linda Marlene Eales,3975
Andy Mitchell,4516
Linda Marlene Eales,3548
Andy Mitchell,4772
Andy Mitchell,3759
Ron Black,3833
Linda Marlene Eales,4132
OTHER,4065
Andy Mitchell,4515
Andy Mitchell,4954
Linda Marlene Eales,3616
Andy Mitchell,4580
Ron Black,4781
Linda Marlene Eales,4690
OTHER,3507
Linda Marlene Eales,4522
Andy Mitchell,3984
Andy Mitchell,5017
Andy Mitchell,4778
OTHER,4925
OTHER,5164
OTHER,5232
Ron Black,3636
Ron Black,4630
OTHER,3897
Ron Black,3902
Andy Mitchell,4450
Ron Black,4627
OTHER,4264
Andy Mitchell,5324
OTHER,3674
Linda Marlene Eales,3569
Andy Mitchell,4307
Linda Marlene Eales,3961
Andy Mitchell,4071
Linda Marlene Eales,5075
Ron Black,3838
OTHER,5282
Andy Mitchell,4026
OTHER,5227
Andy Mitchell,4738
OTHER,3433
Ron Black,4997
OTHER,5180
Andy Mitchell,4526
Ron Black,5076
Andy Mitchell,3779
Andy Mitchell,4868
OTHER,3587
OTHER,4851
OTHER,5301
Linda Marlene Eales,5294
Ron Black,3874
Andy Mitchell,4253
Ron Black,4785
Andy Mitchell,3373
Linda Marlene Eales,4318
OTHER,4797
Andy Mitchell,3629
OTHER,4758
Ron Black,4968
Andy Mitchell,3986
OTHER,4003
Linda Marlene Eales,4065
OTHER,5142
Ron Black,5053
OTHER,3643
OTHER,3402
Andy Mitchell,4511
Linda Marlene Eales,4346
Ron Black,4972
Ron Black,3888
Linda Marlene Eales,3360
Ron Black,4649
OTHER,3544
Ron Black,4435
Linda Marlene Eales,4220
Andy Mitchell,4098
Linda Marlene Eales,3867
Ron Black,4319
Linda Marlene Eales,4224
Andy Mitchell,3593
OTHER,5025
OTHER,4023
Andy Mitchell,3854
Linda Marlene Eales,4270
Ron Black,4464
Andy Mitchell,3727
Linda Marlene Eales,3606
Linda Marlene Eales,3750
Ron Black,4931
OTHER,3574
Ron Black,5077
Andy Mitchell,4524
OTHER,4950
Linda Marlene Eales,4527
OTHER,4522
Ron Black,5104
OTHER,4747
OTHER,3395
Ron Black,4831
Ron Black,4926
OTHER,4812
Ron Black,5227
OTHER,4091
OTHER,3651
Linda Marlene Eales,3873
Linda Marlene Eales,4411
Andy Mitchell,3575
Andy Mitchell,4804
Ron Black,4517
Andy Mitchell,3488
Ron Black,3854
OTHER,4690
Linda Marlene Eales,4198
OTHER,3361
Linda Marlene Eales,3516
Linda Marlene Eales,4366
Linda Marlene Eales,4995
Andy Mitchell,3487
OTHER,4686
Andy Mitchell,5259
Andy Mitchell,3913
Andy Mitchell,4654
Andy Mitchell,3347
Andy Mitchell,3647
Andy Mitchell,3407
OTHER,4600
Andy Mitchell,4491
Ron Black,5193
Linda Marlene Eales,5252
Linda Marlene Eales,5075
Andy Mitchell,4050
Andy Mitchell,5297
Andy Mitchell,4717
Ron Black,4417
Linda Marlene Eales,5027
OTHER,3918
Linda Marlene Eales,3685
Andy Mitchell,4289
Ron Black,3552
OTHER,4544
Andy Mitchell,4104
Ron Black,5147
Linda Marlene Eales,3462
Linda Marlene Eales,3775
Andy Mitchell,4683
OTHER,5201
OTHER,4391
Ron Black,4156
Ron Black,3730
Andy Mitchell,4541
OTHER,4735
Ron Black,4885
Ron Black,4867
OTHER,3426
Andy Mitchell,4418
Ron Black,3585
Linda Marlene Eales,3693
Linda Marlene Eales,4500
Linda Marlene Eales,4213
Linda Marlene Eales,5198
Andy Mitchell,3993
Linda Marlene Eales,4608
OTHER,3885
Andy Mitchell,3959
Ron Black,5309
Linda Marlene Eales,3512
Ron Black,3657
Linda Marlene Eales,3525
OTHER,3646
Andy Mitchell,3712
Linda Marlene Eales,5123
Ron Black,5139
Andy Mitchell,4050
OTHER,4789
Ron Black,5164
OTHER,5211
Andy Mitchell,4911
Ron Black,3730
Linda Marlene Eales,3852
Linda Marlene Eales,4148
Andy Mitchell,3534
Linda Marlene Eales,4439
Ron Black,3361
OTHER,4405
OTHER,3669
Linda Marlene Eales,4918
OTHER,3758
Andy Mitchell,4502
Linda Marlene Eales,4269
OTHER,3823
Ron Black,5267
Andy Mitchell,3501
OTHER,3362
Linda Marlene Eales,4141
Ron Black,3468
Andy Mitchell,5137
Ron Black,4160
Andy Mitchell,4955
Ron Black,3405
OTHER,5120
Andy Mitchell,5199
OTHER,3488
Ron Black,4184
Linda Marlene Eales,5124
OTHER,4115
OTHER,4926
Ron Black,4577
Ron Black,4460
Linda Marlene Eales,3953
Ron Black,3960
OTHER,5167
Linda Marlene Eales,3580
OTHER,4515
OTHER,4574
Andy Mitchell,4123
OTHER,3764
OTHER,4671
Linda Marlene Eales,5302
OTHER,3349
Ron Black,4340
Andy Mitchell,5266
Linda Marlene Eales,4576
Linda Marlene Eales,4867
OTHER,4023
Ron Black,4898
