,mayor,byte_length
135,Ron Black,5338
136,Linda Marlene Eales,5338
137,Ron Black,5338
138,Andy Mitchell,5338
139,Andy Mitchell,5338
140,Andy Mitchell,5338
141,Ron Black,5338
142,Ron Black,5338
143,Ron Black,5338
144,Linda Marlene Eales,5337
145,Andy Mitchell,5337
146,Linda Marlene Eales,5337
147,Andy Mitchell,5337
148,Ron Black,5337
149,Linda Marlene Eales,5337
150,Linda Marlene Eales,5337
151,Ron Black,5337
152,Linda Marlene Eales,5337
153,Ron Black,5336
154,Andy Mitchell,5336
155,Ron Black,5336
156,Andy Mitchell,5336
157,Linda Marlene Eales,5336
158,Andy Mitchell,5336
159,Linda Marlene Eales,5336
160,Andy Mitchell,5336
161,Ron Black,5336
162,Ron Black,5335
163,Ron Black,5335
164,Ron Black,5335
165,Andy Mitchell,5335
166,Ron Black,5335
167,Andy Mitchell,5335
168,Andy Mitchell,5335
169,Andy Mitchell,5335
170,Andy Mitchell,5335
171,Ron Black,5334
172,Ron Black,5334
173,Ron Black,5334
174,Ron Black,5334
175,Ron Black,5334
176,Ron Black,5334
177,Ron Black,5334
178,Linda Marlene Eales,5334
179,Ron Black,5334
180,Ron Black,5334
181,Ron Black,5334
182,Linda Marlene Eales,5334
183,Andy Mitchell,5333
184,Ron Black,5333
185,Andy Mitchell,5333
186,Andy Mitchell,5333
187,Ron Black,5333
188,Ron Black,5333
189,Ron Black,5333
190,Ron Black,5333
191,Andy Mitchell,5333
192,Andy Mitchell,5333
193,Linda Marlene Eales,5333
194,Linda Marlene Eales,5333
195,Linda Marlene Eales,5333
196,Linda Marlene Eales,5332
197,Ron Black,5332
198,Andy Mitchell,5332
199,Ron Black,5332
200,Linda Marlene Eales,5332
201,Andy Mitchell,5332
202,Linda Marlene Eales,5332
203,Ron Black,5332
204,Andy Mitchell,5332
205,Linda Marlene Eales,5332
206,Ron Black,5332
207,Linda Marlene Eales,5332
208,Linda Marlene Eales,5332
209,Andy Mitchell,5332
210,Linda Marlene Eales,5331
211,Ron Black,5331
212,Andy Mitchell,5331
213,Ron Black,5331
214,Linda Marlene Eales,5331
215,Andy Mitchell,5331
216,Ron Black,5331
217,Ron Black,5331
218,Ron Black,5331
219,Ron Black,5331
220,Andy Mitchell,5330
221,Linda Marlene Eales,5330
222,Ron Black,5330
223,Ron Black,5330
224,Andy Mitchell,5330
225,Ron Black,5330
226,Ron Black,5330
227,Ron Black,5330
228,Linda Marlene Eales,5330
229,Ron Black,5330
230,Linda Marlene Eales,5330
231,Linda Marlene Eales,5329
232,Linda Marlene Eales,5329
233,Linda Marlene Eales,5329
234,Ron Black,5329
235,Linda Marlene Eales,5329
236,Andy Mitchell,5329
237,Linda Marlene Eales,5329
238,Linda Marlene Eales,5329
239,Ron Black,5329
240,Linda Marlene Eales,5329
241,Andy Mitchell,5329
242,Linda Marlene Eales,5329
243,Ron Black,5329
244,Linda Marlene Eales,5329
245,Ron Black,5329
246,Linda Marlene Eales,5329
247,Linda Marlene Eales,5329
248,Linda Marlene Eales,5329
249,Ron Black,5329
250,Andy Mitchell,5329
251,Andy Mitchell,5329
252,Andy Mitchell,5329
253,Ron Black,5328
254,Linda Marlene Eales,5328
255,Ron Black,5328
256,Ron Black,5328
257,Linda Marlene Eales,5328
258,Linda Marlene Eales,5328
259,Ron Black,5328
260,Ron Black,5328
261,Andy Mitchell,5328
262,Andy Mitchell,5328
263,ZABSTAIN,5328
264,Linda Marlene Eales,5328
265,Andy Mitchell,5328
266,Andy Mitchell,5327
267,ZABSTAIN,5327
268,ZABSTAIN,5327
269,Andy Mitchell,5327
270,Andy Mitchell,5327
271,Linda Marlene Eales,5327
272,ZABSTAIN,5327
273,Ron Black,5327
274,Linda Marlene Eales,5327
275,Ron Black,5327
276,Linda Marlene Eales,5327
277,Linda Marlene Eales,5327
278,Andy Mitchell,5327
279,Ron Black,5327
280,Ron Black,5327
281,Ron Black,5327
282,Linda Marlene Eales,5327
283,Linda Marlene Eales,5326
284,Ron Black,5326
285,ZABSTAIN,5326
286,Ron Black,5326
287,Linda Marlene Eales,5326
288,Linda Marlene Eales,5326
289,Andy Mitchell,5326
290,Ron Black,5326
291,ZABSTAIN,5326
292,Linda Marlene Eales,5326
293,Ron Black,5326
294,Ron Black,5326
295,Andy Mitchell,5326
296,Ron Black,5326
297,Ron Black,5326
298,Ron Black,5325
299,Andy Mitchell,5325
300,Andy Mitchell,5325
301,Linda Marlene Eales,5325
302,Linda Marlene Eales,5325
303,Ron Black,5325
304,Linda Marlene Eales,5325
305,Andy Mitchell,5325
306,Andy Mitchell,5325
307,Andy Mitchell,5325
308,ZABSTAIN,5325
309,Andy Mitchell,5325
310,ZABSTAIN,5325
311,ZABSTAIN,5325
312,ZABSTAIN,5325
313,ZABSTAIN,5325
314,ZABSTAIN,5324
315,ZABSTAIN,5324
316,ZABSTAIN,5324
317,ZABSTAIN,5324
318,Linda Marlene Eales,5324
319,Andy Mitchell,5324
320,ZABSTAIN,5324
321,Ron Black,5324
322,Linda Marlene Eales,5324
323,Linda Marlene Eales,5324
324,Andy Mitchell,5324
325,Linda Marlene Eales,5324
326,Ron Black,5324
327,Andy Mitchell,5324
328,Linda Marlene Eales,5324
329,Andy Mitchell,5323
330,ZABSTAIN,5323
331,Andy Mitchell,5323
332,ZABSTAIN,5323
333,Andy Mitchell,5323
334,Andy Mitchell,5323
335,Linda Marlene Eales,5323
336,Ron Black,5323
337,Andy Mitchell,5322
338,Andy Mitchell,5322
339,Linda Marlene Eales,5322
340,Linda Marlene Eales,5322
341,Linda Marlene Eales,5322
342,Ron Black,5322
343,Andy Mitchell,5322
344,Ron Black,5322
345,Linda Marlene Eales,5322
346,Ron Black,5322
347,Ron Black,5322
348,ZABSTAIN,5322
349,ZABSTAIN,5322
350,Linda Marlene Eales,5322
351,Linda Marlene Eales,5322
352,ZABSTAIN,5322
353,Andy Mitchell,5322
354,ZABSTAIN,5322
355,ZABSTAIN,5322
356,Linda Marlene Eales,5321
357,ZABSTAIN,5321
358,ZABSTAIN,5321
359,Linda Marlene Eales,5321
360,Linda Marlene Eales,5321
361,ZABSTAIN,5321
362,Linda Marlene Eales,5321
363,Andy Mitchell,5321
364,Andy Mitchell,5321
365,Ron Black,5321
366,ZABSTAIN,5321
367,Ron Black,5321
368,Andy Mitchell,5320
369,Andy Mitchell,5320
370,Andy Mitchell,5320
371,Andy Mitchell,5320
372,Ron Black,5320
373,Linda Marlene Eales,5320
374,Andy Mitchell,5320
375,Ron Black,5320
376,ZABSTAIN,5320
377,Andy Mitchell,5320
378,Ron Black,5320
379,Andy Mitchell,5320
380,Ron Black,5320
381,ZABSTAIN,5320
382,Andy Mitchell,5320
383,ZABSTAIN,5320
384,ZABSTAIN,5320
385,Andy Mitchell,5320
386,Ron Black,5320
387,Ron Black,5320
388,Linda Marlene Eales,5320
389,Ron Black,5320
390,ZABSTAIN,5320
391,Andy Mitchell,5320
392,Andy Mitchell,5319
393,ZABSTAIN,5319
394,Andy Mitchell,5319
395,Linda Marlene Eales,5319
396,ZABSTAIN,5319
397,Andy Mitchell,5319
398,ZABSTAIN,5319
399,Ron Black,5319
400,Andy Mitchell,5319
401,Linda Marlene Eales,5319
402,Andy Mitchell,5319
403,ZABSTAIN,5319
404,ZABSTAIN,5319
405,Linda Marlene Eales,5319
406,Andy Mitchell,5319
407,Ron Black,5319
408,ZABSTAIN,5318
409,ZABSTAIN,5318
410,Andy Mitchell,5318
411,ZABSTAIN,5318
412,Ron Black,5318
413,Ron Black,5318
414,ZABSTAIN,5318
415,Linda Marlene Eales,5318
416,Linda Marlene Eales,5318
417,Linda Marlene Eales,5318
418,Andy Mitchell,5318
419,Ron Black,5318
420,Ron Black,5318
421,Linda Marlene Eales,5318
422,Andy Mitchell,5318
423,Andy Mitchell,5318
424,Linda Marlene Eales,5318
425,Andy Mitchell,5318
426,Linda Marlene Eales,5317
427,ZABSTAIN,5317
428,Ron Black,5317
429,ZABSTAIN,5317
430,Andy Mitchell,5317
431,Andy Mitchell,5317
432,Ron Black,5317
433,Andy Mitchell,5317
434,Andy Mitchell,5317
435,ZABSTAIN,5317
436,Ron Black,5317
437,Linda Marlene Eales,5317
438,Ron Black,5317
439,Ron Black,5317
440,Linda Marlene Eales,5316
441,Ron Black,5316
442,Ron Black,5316
443,ZABSTAIN,5316
444,ZABSTAIN,5316
445,Andy Mitchell,5316
446,ZABSTAIN,5316
447,Ron Black,5316
448,Andy Mitchell,5316
449,Andy Mitchell,5316
450,ZABSTAIN,5316
451,Linda Marlene Eales,5316
452,ZABSTAIN,5316
453,ZABSTAIN,5316
454,Ron Black,5316
455,Linda Marlene Eales,5315
456,Ron Black,5315
457,Ron Black,5315
458,ZABSTAIN,5315
459,Andy Mitchell,5315
460,Andy Mitchell,5315
461,Andy Mitchell,5315
462,Linda Marlene Eales,5315
463,ZABSTAIN,5315
464,Linda Marlene Eales,5315
465,Andy Mitchell,5315
466,ZABSTAIN,5315
467,Andy Mitchell,5315
468,Ron Black,5314
469,ZABSTAIN,5314
470,Ron Black,5314
471,Linda Marlene Eales,5314
472,Linda Marlene Eales,5314
473,ZABSTAIN,5314
474,ZABSTAIN,5314
475,ZABSTAIN,5314
476,Ron Black,5314
477,Linda Marlene Eales,5314
478,ZABSTAIN,5314
479,ZABSTAIN,5314
480,Linda Marlene Eales,5314
481,Linda Marlene Eales,5313
482,ZABSTAIN,5313
483,Andy Mitchell,5313
484,Ron Black,5313
485,ZABSTAIN,5313
486,Ron Black,5313
487,ZABSTAIN,5313
488,ZABSTAIN,5313
489,Ron Black,5313
490,Linda Marlene Eales,5313
491,Linda Marlene Eales,5313
492,Andy Mitchell,5313
493,Linda Marlene Eales,5313
494,Andy Mitchell,5313
495,Ron Black,5313
496,Ron Black,5312
497,ZABSTAIN,5312
498,ZABSTAIN,5312
499,Andy Mitchell,5312
500,Ron Black,5312
501,ZABSTAIN,5312
502,ZABSTAIN,5312
503,ZABSTAIN,5312
504,Ron Black,5312
505,ZABSTAIN,5312
506,Andy Mitchell,5312
507,Linda Marlene Eales,5312
508,ZABSTAIN,5312
509,Linda Marlene Eales,5312
510,Linda Marlene Eales,5312
511,ZABSTAIN,5312
512,Ron Black,5312
513,Linda Marlene Eales,5312
514,Linda Marlene Eales,5312
515,ZABSTAIN,5312
516,Ron Black,5311
517,ZABSTAIN,5311
518,ZABSTAIN,5311
519,Ron Black,5311
520,Linda Marlene Eales,5311
521,Ron Black,5311
522,Ron Black,5311
523,Ron Black,5311
524,Ron Black,5311
525,Andy Mitchell,5311
526,ZABSTAIN,5311
527,Linda Marlene Eales,5311
528,Ron Black,5311
529,ZABSTAIN,5310
530,Andy Mitchell,5310
531,Linda Marlene Eales,5310
532,Ron Black,5310
533,Linda Marlene Eales,5310
534,Andy Mitchell,5310
535,Linda Marlene Eales,5310
536,Andy Mitchell,5310
537,Ron Black,5310
538,Andy Mitchell,5310
539,Linda Marlene Eales,5310
540,Linda Marlene Eales,5309
541,Andy Mitchell,5309
542,Ron Black,5309
543,Linda Marlene Eales,5309
544,ZABSTAIN,5309
545,ZABSTAIN,5309
546,ZABSTAIN,5309
547,Andy Mitchell,5309
548,Andy Mitchell,5309
549,Linda Marlene Eales,5309
550,Andy Mitchell,5309
551,Andy Mitchell,5309
552,Linda Marlene Eales,5309
553,Linda Marlene Eales,5309
554,Ron Black,5309
555,Linda Marlene Eales,5309
556,Linda Marlene Eales,5308
557,Andy Mitchell,5308
558,Andy Mitchell,5308
559,Ron Black,5308
560,ZABSTAIN,5308
561,Andy Mitchell,5308
562,ZABSTAIN,5308
563,ZABSTAIN,5308
564,Andy Mitchell,5308
565,ZABSTAIN,5308
566,Andy Mitchell,5308
567,Ron Black,5308
568,Linda Marlene Eales,5308
569,Linda Marlene Eales,5308
570,Andy Mitchell,5308
571,Linda Marlene Eales,5308
572,Andy Mitchell,5308
573,ZABSTAIN,5308
574,ZABSTAIN,5308
575,Linda Marlene Eales,5307
576,Andy Mitchell,5307
577,Linda Marlene Eales,5307
578,Andy Mitchell,5307
579,Ron Black,5307
580,Linda Marlene Eales,5307
581,ZABSTAIN,5307
582,Ron Black,5307
583,ZABSTAIN,5307
584,ZABSTAIN,5307
585,Ron Black,5307
586,Linda Marlene Eales,5307
587,Ron Black,5307
588,ZABSTAIN,5307
589,ZABSTAIN,5307
590,Linda Marlene Eales,5307
591,Linda Marlene Eales,5307
592,Andy Mitchell,5307
593,ZABSTAIN,5307
594,Ron Black,5306
595,Ron Black,5306
596,Ron Black,5306
597,ZABSTAIN,5306
598,Andy Mitchell,5306
599,Linda Marlene Eales,5306
600,Andy Mitchell,5306
601,Linda Marlene Eales,5306
602,Ron Black,5306
603,ZABSTAIN,5306
604,ZABSTAIN,5306
605,ZABSTAIN,5306
606,ZABSTAIN,5306
607,Linda Marlene Eales,5306
608,Ron Black,5306
609,Andy Mitchell,5306
610,Linda Marlene Eales,5305
611,Ron Black,5305
612,Linda Marlene Eales,5305
613,Andy Mitchell,5305
614,Linda Marlene Eales,5305
615,Ron Black,5305
616,ZABSTAIN,5305
617,ZABSTAIN,5305
618,Linda Marlene Eales,5305
619,Linda Marlene Eales,5305
620,ZABSTAIN,5305
621,ZABSTAIN,5305
622,Ron Black,5305
623,Andy Mitchell,5305
624,Andy Mitchell,5305
625,Andy Mitchell,5305
626,Ron Black,5305
627,ZABSTAIN,5305
628,Linda Marlene Eales,5305
629,Andy Mitchell,5304
630,Linda Marlene Eales,5304
631,Linda Marlene Eales,5304
632,ZABSTAIN,5304
633,Ron Black,5304
634,Linda Marlene Eales,5304
635,Linda Marlene Eales,5304
636,Linda Marlene Eales,5304
637,Andy Mitchell,5304
638,Andy Mitchell,5304
639,Ron Black,5304
640,Andy Mitchell,5304
641,Andy Mitchell,5304
642,ZABSTAIN,5304
643,Andy Mitchell,5304
644,ZABSTAIN,5304
645,Linda Marlene Eales,5304
646,Andy Mitchell,5304
647,ZABSTAIN,5303
648,ZABSTAIN,5303
649,Andy Mitchell,5303
650,Andy Mitchell,5303
651,ZABSTAIN,5303
652,Linda Marlene Eales,5303
653,Andy Mitchell,5303
654,Linda Marlene Eales,5303
655,Linda Marlene Eales,5303
656,Andy Mitchell,5303
657,Ron Black,5303
658,Andy Mitchell,5303
659,Linda Marlene Eales,5303
660,Andy Mitchell,5303
661,ZABSTAIN,5303
662,Linda Marlene Eales,5303
663,Andy Mitchell,5303
664,Linda Marlene Eales,5303
665,ZABSTAIN,5303
666,Linda Marlene Eales,5303
667,Ron Black,5303
668,Andy Mitchell,5303
669,Linda Marlene Eales,5302
670,Andy Mitchell,5302
671,Linda Marlene Eales,5302
672,ZABSTAIN,5302
673,Andy Mitchell,5302
674,ZABSTAIN,5302
675,Andy Mitchell,5302
676,Andy Mitchell,5302
677,ZABSTAIN,5302
678,Linda Marlene Eales,5302
679,Linda Marlene Eales,5302
680,Linda Marlene Eales,5302
681,Ron Black,5301
682,ZABSTAIN,5301
683,Linda Marlene Eales,5301
684,Ron Black,5301
685,Linda Marlene Eales,5301
686,Andy Mitchell,5301
687,Andy Mitchell,5301
688,ZABSTAIN,5301
689,ZABSTAIN,5301
690,Andy Mitchell,5301
691,Linda Marlene Eales,5301
692,ZABSTAIN,5301
693,Andy Mitchell,5301
694,Ron Black,5301
695,Andy Mitchell,5301
696,Andy Mitchell,5301
697,Ron Black,5301
698,Ron Black,5301
699,Andy Mitchell,5301
700,Andy Mitchell,5301
701,Andy Mitchell,5300
702,Ron Black,5300
703,Linda Marlene Eales,5300
704,Linda Marlene Eales,5300
705,Ron Black,5300
706,Ron Black,5300
707,ZABSTAIN,5300
708,Andy Mitchell,5300
709,Andy Mitchell,5300
710,Linda Marlene Eales,5300
711,Linda Marlene Eales,5300
712,Andy Mitchell,5300
713,Linda Marlene Eales,5300
714,ZABSTAIN,5300
715,Ron Black,5300
716,Ron Black,5300
717,Andy Mitchell,5300
718,ZABSTAIN,5300
719,Linda Marlene Eales,5300
720,Ron Black,5300
721,ZABSTAIN,5300
722,Linda Marlene Eales,5300
723,Ron Black,5300
724,Ron Black,5300
725,Linda Marlene Eales,5299
726,ZABSTAIN,5299
727,ZABSTAIN,5299
728,Andy Mitchell,5299
729,ZABSTAIN,5299
730,Ron Black,5299
731,ZABSTAIN,5299
732,ZABSTAIN,5299
733,ZABSTAIN,5299
734,Linda Marlene Eales,5299
735,ZABSTAIN,5299
736,Andy Mitchell,5299
737,Andy Mitchell,5299
738,Linda Marlene Eales,5299
739,Andy Mitchell,5299
740,Ron Black,5299
741,ZABSTAIN,5298
742,Ron Black,5298
743,Ron Black,5298
744,Linda Marlene Eales,5298
745,Andy Mitchell,5298
746,ZABSTAIN,5298
747,Andy Mitchell,5298
748,Ron Black,5298
749,ZABSTAIN,5298
750,Ron Black,5298
751,Linda Marlene Eales,5298
752,Linda Marlene Eales,5298
753,Ron Black,5298
754,Andy Mitchell,5298
755,Andy Mitchell,5298
756,ZABSTAIN,5298
757,ZABSTAIN,5298
758,Andy Mitchell,5298
759,Andy Mitchell,5298
760,Ron Black,5297
761,ZABSTAIN,5297
762,ZABSTAIN,5297
763,Linda Marlene Eales,5297
764,ZABSTAIN,5297
765,Andy Mitchell,5297
766,Andy Mitchell,5297
767,Linda Marlene Eales,5297
768,Ron Black,5297
769,Linda Marlene Eales,5297
770,ZABSTAIN,5297
771,Linda Marlene Eales,5297
772,ZABSTAIN,5297
773,Andy Mitchell,5297
774,ZABSTAIN,5297
775,Andy Mitchell,5297
776,Andy Mitchell,5297
777,ZABSTAIN,5296
778,Linda Marlene Eales,5296
779,Ron Black,5296
780,Andy Mitchell,5296
781,ZABSTAIN,5296
782,Linda Marlene Eales,5296
783,Linda Marlene Eales,5296
784,Linda Marlene Eales,5296
785,Ron Black,5296
786,ZABSTAIN,5296
787,ZABSTAIN,5296
788,Andy Mitchell,5296
789,Linda Marlene Eales,5296
790,Ron Black,5295
791,ZABSTAIN,5295
792,ZABSTAIN,5295
793,Ron Black,5295
794,ZABSTAIN,5295
795,Linda Marlene Eales,5295
796,Ron Black,5295
797,Linda Marlene Eales,5295
798,Ron Black,5295
799,Ron Black,5295
800,Linda Marlene Eales,5295
801,Linda Marlene Eales,5295
802,Andy Mitchell,5295
803,Linda Marlene Eales,5295
804,Linda Marlene Eales,5295
805,Ron Black,5295
806,Linda Marlene Eales,5295
807,Linda Marlene Eales,5295
808,Ron Black,5295
809,Linda Marlene Eales,5295
810,Andy Mitchell,5294
811,Linda Marlene Eales,5294
812,Ron Black,5294
813,Ron Black,5294
814,ZABSTAIN,5294
815,Linda Marlene Eales,5294
816,ZABSTAIN,5294
817,Ron Black,5294
818,Andy Mitchell,5294
819,Andy Mitchell,5294
820,ZABSTAIN,5294
821,Linda Marlene Eales,5294
822,Linda Marlene Eales,5294
823,ZABSTAIN,5294
824,Linda Marlene Eales,5294
825,Andy Mitchell,5294
826,Ron Black,5294
827,Linda Marlene Eales,5293
828,Linda Marlene Eales,5293
829,Andy Mitchell,5293
830,Linda Marlene Eales,5293
831,Andy Mitchell,5293
832,ZABSTAIN,5293
833,Andy Mitchell,5293
834,Linda Marlene Eales,5293
835,Ron Black,5293
836,ZABSTAIN,5293
837,Linda Marlene Eales,5293
838,ZABSTAIN,5293
839,Linda Marlene Eales,5293
840,Linda Marlene Eales,5293
841,Linda Marlene Eales,5293
842,Ron Black,5293
843,Ron Black,5292
844,Ron Black,5292
845,Linda Marlene Eales,5292
846,Ron Black,5292
847,Linda Marlene Eales,5292
848,ZABSTAIN,5292
849,Linda Marlene Eales,5292
850,Linda Marlene Eales,5292
851,ZABSTAIN,5292
852,Ron Black,5292
853,Andy Mitchell,5292
854,Ron Black,5292
855,ZABSTAIN,5292
856,Andy Mitchell,5291
857,Linda Marlene Eales,5291
858,Linda Marlene Eales,5291
859,ZABSTAIN,5291
860,ZABSTAIN,5291
861,Andy Mitchell,5291
862,Andy Mitchell,5291
863,Ron Black,5291
864,Andy Mitchell,5291
865,Andy Mitchell,5291
866,Ron Black,5291
867,Andy Mitchell,5290
868,Linda Marlene Eales,5290
869,Andy Mitchell,5290
870,ZABSTAIN,5290
871,Linda Marlene Eales,5290
872,Linda Marlene Eales,5290
873,ZABSTAIN,5290
874,Linda Marlene Eales,5290
875,ZABSTAIN,5290
876,Andy Mitchell,5290
877,Ron Black,5290
878,Ron Black,5290
879,Ron Black,5290
880,ZABSTAIN,5290
881,Andy Mitchell,5289
882,Linda Marlene Eales,5289
883,Andy Mitchell,5289
884,Andy Mitchell,5289
885,Andy Mitchell,5289
886,Andy Mitchell,5289
887,Linda Marlene Eales,5289
888,ZABSTAIN,5289
889,Andy Mitchell,5289
890,ZABSTAIN,5289
891,Linda Marlene Eales,5289
892,Andy Mitchell,5289
893,Ron Black,5289
894,Linda Marlene Eales,5289
895,Linda Marlene Eales,5288
896,ZABSTAIN,5288
897,Ron Black,5288
898,ZABSTAIN,5288
899,Ron Black,5288
900,Ron Black,5288
901,ZABSTAIN,5288
902,Linda Marlene Eales,5288
903,Linda Marlene Eales,5288
904,Andy Mitchell,5288
905,ZABSTAIN,5288
906,ZABSTAIN,5288
907,Linda Marlene Eales,5288
908,Linda Marlene Eales,5288
909,ZABSTAIN,5287
910,Andy Mitchell,5287
911,ZABSTAIN,5287
912,Andy Mitchell,5287
913,Andy Mitchell,5287
914,Ron Black,5287
915,ZABSTAIN,5287
916,Ron Black,5287
917,Ron Black,5287
918,Ron Black,5287
919,ZABSTAIN,5286
920,Ron Black,5286
921,Ron Black,5286
922,Andy Mitchell,5286
923,ZABSTAIN,5286
924,Linda Marlene Eales,5286
925,Linda Marlene Eales,5286
926,Ron Black,5286
927,Andy Mitchell,5286
928,ZABSTAIN,5286
929,ZABSTAIN,5286
930,Linda Marlene Eales,5286
931,ZABSTAIN,5286
932,ZABSTAIN,5286
933,Andy Mitchell,5286
934,Linda Marlene Eales,5285
935,Ron Black,5285
936,ZABSTAIN,5285
937,Ron Black,5285
938,Ron Black,5285
939,Linda Marlene Eales,5285
940,ZABSTAIN,5285
941,Ron Black,5285
942,ZABSTAIN,5285
943,Andy Mitchell,5285
944,Linda Marlene Eales,5285
945,Andy Mitchell,5285
946,Linda Marlene Eales,5285
947,Ron Black,5285
948,Linda Marlene Eales,5285
949,ZABSTAIN,5285
950,Andy Mitchell,5285
951,Andy Mitchell,5285
952,Linda Marlene Eales,5285
953,ZABSTAIN,5285
954,Ron Black,5285
955,Andy Mitchell,5285
956,Andy Mitchell,5285
957,Andy Mitchell,5285
958,Ron Black,5285
959,Andy Mitchell,5284
960,ZABSTAIN,5284
961,Linda Marlene Eales,5284
962,Linda Marlene Eales,5284
963,Linda Marlene Eales,5284
964,ZABSTAIN,5284
965,Andy Mitchell,5284
966,Ron Black,5284
967,Linda Marlene Eales,5284
968,Ron Black,5284
969,Linda Marlene Eales,5284
970,Linda Marlene Eales,5284
971,Linda Marlene Eales,5284
972,Linda Marlene Eales,5284
973,Andy Mitchell,5284
974,Linda Marlene Eales,5284
975,Linda Marlene Eales,5284
976,Andy Mitchell,5284
977,Andy Mitchell,5284
978,Andy Mitchell,5284
979,ZABSTAIN,5284
980,Linda Marlene Eales,5284
981,Ron Black,5284
982,ZABSTAIN,5284
983,Andy Mitchell,5284
984,Andy Mitchell,5284
985,Andy Mitchell,5283
986,ZABSTAIN,5283
987,Andy Mitchell,5283
988,Ron Black,5283
989,Linda Marlene Eales,5283
990,Linda Marlene Eales,5283
991,ZABSTAIN,5283
992,Linda Marlene Eales,5283
993,ZABSTAIN,5283
994,ZABSTAIN,5283
995,Andy Mitchell,5283
996,ZABSTAIN,5283
997,Linda Marlene Eales,5283
998,Ron Black,5283
999,Andy Mitchell,5283
1000,Ron Black,5283
1001,Andy Mitchell,5283
1002,Andy Mitchell,5283
1003,Ron Black,5282
1004,Linda Marlene Eales,5282
1005,ZABSTAIN,5282
1006,Andy Mitchell,5282
1007,ZABSTAIN,5282
1008,Linda Marlene Eales,5282
